t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
441,455,1.2048145946790223,0.003610694219630696,1.197748018615017,1.1988816893635788,1.202377256398638,1.204810987732397,1.2072480009297817,1.210759803603451,1.2119016687213087,2021-05-12,2021-05-26
442,456,1.203378963123012,0.0035583155286940667,1.196414763857397,1.1975320427684992,1.2009770079198057,1.2033754558867964,1.2057770949935742,1.2092378469656064,1.210363093720986,2021-05-13,2021-05-27
443,457,1.2142686578391255,0.0035229506942851046,1.207373487413272,1.2084797362809372,1.2118906102903242,1.2142652508019423,1.2166429912849173,1.2200692010977532,1.221183190174633,2021-05-14,2021-05-28
444,458,1.2129028039764962,0.0034693329199342797,1.2061124403741907,1.2072019063745953,1.2105609749800026,1.21289949613654,1.2152410270075298,1.2186149849084449,1.2197119657588993,2021-05-15,2021-05-29
445,459,1.2036730310822021,0.0034040929837868385,1.197010254421782,1.1980792748620432,1.2013752594733391,1.2036698220591395,1.2059673044485477,1.2092777335593727,1.2103540443545533,2021-05-16,2021-05-30
446,460,1.1789487898196085,0.0033179299145788136,1.172454615418793,1.1734965945320484,1.1767091867790167,1.1789456772575684,1.1811849997724368,1.1844116023272306,1.1854606526523803,2021-05-17,2021-05-31
447,461,1.1847517697146885,0.0032771993801978686,1.1783371674167338,1.1793664150550782,1.1825396883589443,1.184748747975963,1.1869605569915913,1.1901474317881144,1.1911835443032928,2021-05-18,2021-06-01
448,462,1.1921781070679875,0.003242045238679913,1.1858321698714505,1.1868504342178752,1.1899897818719938,1.192175168230616,1.1943632285581214,1.1975158045481675,1.1985407454337065,2021-05-19,2021-06-02
449,463,1.1754038535302684,0.003175538019411275,1.1691880431903443,1.1701854402551646,1.1732604297889224,1.1754009937933587,1.1775441597952938,1.1806320216168753,1.181635915518027,2021-05-20,2021-06-03
450,464,1.1630635589605431,0.0031159500085782056,1.1569643197509611,1.1579430275790858,1.1609603686480237,1.1630607763266243,1.1651637158487824,1.1681935821484843,1.1691786116480765,2021-05-21,2021-06-04
451,465,1.1459868246398064,0.0030526129019994804,1.1400115186670714,1.1409703502874347,1.1439263938114255,1.1459841141835105,1.148044300726675,1.1510125445945043,1.1519775339110596,2021-05-22,2021-06-05
452,466,1.1198487115465976,0.0029806305248218532,1.1140143007953085,1.1149505249864515,1.117836868004252,1.1198460670957582,1.1218576723017581,1.1247559185587133,1.1256981504928678,2021-05-23,2021-06-06
